county,dem_votes,rep_votes,total_votes,year,office,state,cvap_approx,dem_voteshare,turnout
Juab,714,3886,4731,2022,Senate,UT,7678,0.15521739130434783,0.6161760875227924
Kane,946,2553,3659,2022,Senate,UT,6182,0.270362960845956,0.5918796505985118
Millard,701,4279,5130,2022,Senate,UT,8866,0.14076305220883534,0.5786149334536431
Morgan,1358,3665,5154,2022,Senate,UT,7953,0.27035636074059327,0.6480573368540173
Piute,82,692,783,2022,Senate,UT,1606,0.10594315245478036,0.487546699875467
Rich,206,844,1073,2022,Senate,UT,1634,0.1961904761904762,0.6566707466340269
Sevier,1152,6411,7775,2022,Senate,UT,15967,0.15232050773502578,0.48694181749859083
Salt Lake,218495,144931,381195,2022,Senate,UT,801565,0.6012090494350982,0.4755634290419367
San Juan,1815,3118,5560,2022,Senate,UT,11341,0.3679302655584837,0.49025659112953
Sanpete,1912,7829,10004,2022,Senate,UT,22891,0.19628374910173493,0.43702765278930583
Summit,12325,7305,20354,2022,Senate,UT,30740,0.6278655119714722,0.6621340273259596
Tooele,7487,13371,22069,2022,Senate,UT,45931,0.3589510020136159,0.4804815919531471
Uintah,1559,8905,10833,2022,Senate,UT,25993,0.14898700305810397,0.4167660523987227
Utah,72238,127096,206045,2022,Senate,UT,399872,0.36239678128166797,0.5152773887644047
Wayne,415,1056,1514,2022,Senate,UT,2118,0.2821210061182869,0.7148253068932956
Weber,31265,42007,77039,2022,Senate,UT,182677,0.42669778360082977,0.42172249380053317
Wasatch,5425,7384,13314,2022,Senate,UT,21351,0.4235303302365524,0.6235773500070254
Washington,17786,49420,69501,2022,Senate,UT,123684,0.26464898967354106,0.5619239351896769
Beaver,394,2781,3212,2024,President,UT,4637,0.12409448818897638,0.6926892387319388
Box Elder,5274,22853,28909,2024,President,UT,39245,0.1875066661926263,0.736628869919735
Cache,18718,39457,60229,2024,President,UT,89466,0.32175333046841426,0.6732054635280442
Carbon,2525,6719,9445,2024,President,UT,16324,0.27315015144958893,0.5785959323695172
Daggett,101,443,550,2024,President,UT,532,0.18566176470588236,1.0338345864661653
Davis,59895,101293,166492,2024,President,UT,249066,0.3715847333548403,0.6684653866846538
Duchesne,1009,7815,8967,2024,President,UT,14510,0.11434723481414324,0.617987594762233
Emery,603,4341,5011,2024,President,UT,7840,0.12196601941747573,0.6391581632653062
Garfield,541,2211,2811,2024,President,UT,4094,0.19658430232558138,0.6866145578895946
Grand,2828,2327,5300,2024,President,UT,7801,0.5485935984481086,0.6794000769132162
Iron,5683,21571,27876,2024,President,UT,38063,0.20851985029720407,0.7323647636812652
Juab,734,5671,6518,2024,President,UT,7818,0.11459797033567526,0.833717063187516
Kane,1137,3277,4486,2024,President,UT,6294,0.25758948799275033,0.7127422942484907
Millard,713,5558,6385,2024,President,UT,9027,0.11369797480465635,0.7073224770134042
Morgan,1256,5300,6757,2024,President,UT,8098,0.19158023184868822,0.8344035564336874
Piute,94,854,963,2024,President,UT,1635,0.09915611814345991,0.5889908256880734
Rich,214,1211,1447,2024,President,UT,1663,0.15017543859649124,0.8701142513529766
Salt Lake,273658,221555,509492,2024,President,UT,816138,0.5526066561257479,0.6242718755896675
San Juan,2581,3613,6328,2024,President,UT,11547,0.4166935744268647,0.5480211310297047
Sanpete,1906,10653,12943,2024,President,UT,23307,0.1517636754518672,0.5553267258763461
Sevier,1236,9526,10926,2024,President,UT,16257,0.11484854116335254,0.6720797195054438
Summit,14612,10783,25876,2024,President,UT,31298,0.5753888560740303,0.8267620934245
Tooele,9560,23484,33988,2024,President,UT,46766,0.28931122140176735,0.7267673095838857
Uintah,1952,13599,15831,2024,President,UT,26466,0.12552247443894282,0.5981636817048288
Utah,84937,203476,297944,2024,President,UT,407142,0.2944978208333189,0.7317938213203256
Wasatch,6459,11495,18354,2024,President,UT,21739,0.35975270134788906,0.8442890657343944
Washington,22327,73165,97243,2024,President,UT,125933,0.23381016210782055,0.7721804451573455
Wayne,381,1238,1651,2024,President,UT,2156,0.23533045089561458,0.7657699443413729
Weber,41238,67549,112017,2024,President,UT,185998,0.3790710287074742,0.6022484112732395
Adams,1814,3907,5862,2020,President,WA,9529,0.31707743401503236,0.6151747297722742
Asotin,4250,7319,11951,2020,President,WA,17474,0.36736105108479555,0.6839304108961887
Benton,38706,60365,103033,2020,President,WA,118110,0.39068950550615217,0.8723478113622893
